family,domain,system,mean,sd,median,iqr,bootstrap_ci95_low,bootstrap_ci95_high,n,aggregate_metric
arrays_binary_search,arrays,code_only_v1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7,vacuity_rate
arrays_binary_search,arrays,full_method_v1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7,vacuity_rate
arrays_binary_search,arrays,naive_concat_v1,0.0953,0.0891,0.1667,0.1667,0.0476,0.1429,7,vacuity_rate
arrays_binary_search,arrays,text_only_v1,0.2857,0.0000,0.2857,0.0000,0.2857,0.2857,7,vacuity_rate
arrays_max_subarray,arrays,code_only_v1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7,vacuity_rate
arrays_max_subarray,arrays,full_method_v1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7,vacuity_rate
arrays_max_subarray,arrays,naive_concat_v1,0.0909,0.0000,0.0909,0.0000,0.0909,0.0909,7,vacuity_rate
arrays_max_subarray,arrays,text_only_v1,0.0817,0.0764,0.1429,0.1429,0.0408,0.1225,7,vacuity_rate
dp_knapsack_01,dp,code_only_v1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7,vacuity_rate
dp_knapsack_01,dp,full_method_v1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7,vacuity_rate
dp_knapsack_01,dp,naive_concat_v1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7,vacuity_rate
dp_knapsack_01,dp,text_only_v1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7,vacuity_rate
dp_longest_common_subsequence,dp,code_only_v1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7,vacuity_rate
dp_longest_common_subsequence,dp,full_method_v1,0.1679,0.0401,0.2000,0.0750,0.1357,0.1893,7,vacuity_rate
dp_longest_common_subsequence,dp,naive_concat_v1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7,vacuity_rate
dp_longest_common_subsequence,dp,text_only_v1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7,vacuity_rate
graph_bfs_shortest_path,graph,code_only_v1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7,vacuity_rate
graph_bfs_shortest_path,graph,full_method_v1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7,vacuity_rate
graph_bfs_shortest_path,graph,naive_concat_v1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7,vacuity_rate
graph_bfs_shortest_path,graph,text_only_v1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7,vacuity_rate
graph_dijkstra,graph,code_only_v1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7,vacuity_rate
graph_dijkstra,graph,full_method_v1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7,vacuity_rate
graph_dijkstra,graph,naive_concat_v1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7,vacuity_rate
graph_dijkstra,graph,text_only_v1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7,vacuity_rate
greedy_coin_change_canonical,greedy,code_only_v1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7,vacuity_rate
greedy_coin_change_canonical,greedy,full_method_v1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7,vacuity_rate
greedy_coin_change_canonical,greedy,naive_concat_v1,0.0476,0.0445,0.0833,0.0833,0.0119,0.0714,7,vacuity_rate
greedy_coin_change_canonical,greedy,text_only_v1,0.1429,0.1336,0.2500,0.2500,0.0357,0.2143,7,vacuity_rate
greedy_interval_scheduling,greedy,code_only_v1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7,vacuity_rate
greedy_interval_scheduling,greedy,full_method_v1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7,vacuity_rate
greedy_interval_scheduling,greedy,naive_concat_v1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7,vacuity_rate
greedy_interval_scheduling,greedy,text_only_v1,0.0909,0.0000,0.0909,0.0000,0.0909,0.0909,7,vacuity_rate
sorting_insertion_sort,sorting,code_only_v1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7,vacuity_rate
sorting_insertion_sort,sorting,full_method_v1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7,vacuity_rate
sorting_insertion_sort,sorting,naive_concat_v1,0.1024,0.0108,0.1111,0.0202,0.0938,0.1082,7,vacuity_rate
sorting_insertion_sort,sorting,text_only_v1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7,vacuity_rate
sorting_merge_sort,sorting,code_only_v1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7,vacuity_rate
sorting_merge_sort,sorting,full_method_v1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7,vacuity_rate
sorting_merge_sort,sorting,naive_concat_v1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7,vacuity_rate
sorting_merge_sort,sorting,text_only_v1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7,vacuity_rate
trees_bst_insert,trees,code_only_v1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7,vacuity_rate
trees_bst_insert,trees,full_method_v1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7,vacuity_rate
trees_bst_insert,trees,naive_concat_v1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7,vacuity_rate
trees_bst_insert,trees,text_only_v1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7,vacuity_rate
trees_lowest_common_ancestor,trees,code_only_v1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7,vacuity_rate
trees_lowest_common_ancestor,trees,full_method_v1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7,vacuity_rate
trees_lowest_common_ancestor,trees,naive_concat_v1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7,vacuity_rate
trees_lowest_common_ancestor,trees,text_only_v1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7,vacuity_rate
