w_faithfulness,w_code_consistency,w_proof_utility,w_vacuity,w_contradiction,w_missing_critical,system,reliability_mean
0.34,0.33,0.33,0.15,0.1,0.1,code_only_v1,0.7559
0.34,0.33,0.33,0.15,0.1,0.1,full_method_v1,0.8183
0.34,0.33,0.33,0.15,0.1,0.1,naive_concat_v1,0.6837
0.34,0.33,0.33,0.15,0.1,0.1,text_only_v1,0.6443
0.5,0.25,0.25,0.15,0.1,0.1,code_only_v1,0.7892
0.5,0.25,0.25,0.15,0.1,0.1,full_method_v1,0.8325
0.5,0.25,0.25,0.15,0.1,0.1,naive_concat_v1,0.7009
0.5,0.25,0.25,0.15,0.1,0.1,text_only_v1,0.6531
0.4,0.3,0.3,0.15,0.1,0.1,code_only_v1,0.7684
0.4,0.3,0.3,0.15,0.1,0.1,full_method_v1,0.8237
0.4,0.3,0.3,0.15,0.1,0.1,naive_concat_v1,0.6901
0.4,0.3,0.3,0.15,0.1,0.1,text_only_v1,0.6476
0.6,0.2,0.2,0.15,0.1,0.1,code_only_v1,0.8100
0.6,0.2,0.2,0.15,0.1,0.1,full_method_v1,0.8414
0.6,0.2,0.2,0.15,0.1,0.1,naive_concat_v1,0.7116
0.6,0.2,0.2,0.15,0.1,0.1,text_only_v1,0.6587
0.45,0.275,0.275,0.15,0.1,0.1,code_only_v1,0.7788
0.45,0.275,0.275,0.15,0.1,0.1,full_method_v1,0.8281
0.45,0.275,0.275,0.15,0.1,0.1,naive_concat_v1,0.6955
0.45,0.275,0.275,0.15,0.1,0.1,text_only_v1,0.6504
